"Variable","Mean_Saltwater","Mean_Freshwater","Difference","SE_Difference","T_ratio","DF","P_value","Q_value","Significant"
"Heart Rate (/min)",17.52,26.286,-8.766,2.783,-3.149,42.23,0.003,0.00434,"Yes"
"Rectal Temp ""C""",12.18,17.519,-5.339,0.221,-24.163,38.28,8.83e-25,2.3e-23,"Yes"
"Right IR (F)",54.892,62.414,-7.522,0.736,-10.215,33.75,7.33e-12,6.36e-11,"Yes"
"Left IR (F)",54.644,62.495,-7.851,0.785,-10,32.95,1.65e-11,1.07e-10,"Yes"
"Dorsal IR (F)",54.132,62.519,-8.387,0.672,-12.474,36.66,9.32e-15,1.21e-13,"Yes"
"Weight (kg)",2.839,1.693,1.146,0.229,4.994,22.52,5.01e-05,0.000144,"Yes"
"Length (cm)",63.84,56.714,7.126,1.521,4.685,11.88,0.000542,0.00101,"Yes"
"Lac",2.976,3.743,-0.767,0.398,-1.924,39.33,0.0616,0.0727,"No"
"HemoCue (g/dl)",9.74,10.2,-0.46,0.537,-0.856,35,0.398,0.431,"No"
"PCV1",42.92,56.95,-14.03,3.056,-4.591,27.21,9e-05,0.00018,"Yes"
"PCV2",43.458,60.75,-17.292,3.363,-5.142,26.33,2.23e-05,7.25e-05,"Yes"
"TS",7.848,9.35,-1.502,0.439,-3.418,40.65,0.00144,0.0025,"Yes"
"Na (mmol/L)",151.4,147.048,4.352,1.34,3.248,31.83,0.00274,0.00419,"Yes"
"K (mmol/L)",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cl (mmol/L)",137.5,133.389,4.111,1.181,3.481,18.22,0.00263,0.00419,"Yes"
"iCa (mmol/L)",1.518,1.611,-0.093,0.043,-2.141,43.33,0.038,0.047,"Yes"
"TCO2 (mmol/L)",9.16,13.55,-4.39,0.568,-7.735,42.9,1.15e-09,4.97e-09,"Yes"
"Glu (mg/dL)",65.44,56.6,8.84,5.465,1.617,22.02,0.12,0.136,"No"
"Hct (%PCV)",27.36,38.667,-11.307,2.402,-4.707,29.47,5.52e-05,0.000144,"Yes"
"Hb* (g/dL)",9.368,13.11,-3.742,0.822,-4.554,30.24,8.06e-05,0.000175,"Yes"
"BUN (mg/dL)",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Crea (mg/dL)",NA,NA,NA,NA,NA,NA,NA,NA,NA
"WBC estimate K/μl",10.847,14.219,-3.372,1.276,-2.642,30.59,0.0129,0.0167,"Yes"
"Absolute Neutrophils K/μl",3.487,3.452,0.034,0.643,0.053,26.8,0.958,0.958,"No"
"Absolute immature neutrophils K/μl",0.32,0.368,-0.048,0.079,-0.607,28.25,0.548,0.57,"No"
"Absolute Lymphocytes K/μl",6.367,8.405,-2.038,0.667,-3.057,33.63,0.00436,0.00597,"Yes"
"Absolute Monocytes K/μl",0.699,1.992,-1.293,0.218,-5.941,28.74,1.94e-06,7.21e-06,"Yes"
"Absolute Eosinophils K/μl",0,0,0,0,NA,NA,NA,NA,NA
"Absolute Basophils K/μl",0,0,0,0,NA,NA,NA,NA,NA
"#immature RBC/100 mature RBC",28.875,4.524,24.351,2.38,10.231,25.92,1.36e-10,7.07e-10,"Yes"
"PCV_Avg",43.2,58.929,-15.729,3.364,-4.675,26.92,7.33e-05,0.000173,"Yes"
