"Variable","N","OutliersRemoved","Minimum","Maximum","Mean","SD","RI_lower","RI_upper","CI90_lower_L","CI90_lower_U","CI90_upper_L","CI90_upper_U"
"Rectal Temp ""C""",20,1,17,18.5,17.585,0.431978313295812,16.8743956746284,18.2956043253716,16.7308538193742,17.0818617682198,17.9249742340013,18.5762250409975
"Right IR (F)",21,0,59,65.3,62.4142857142857,1.43223102685486,60.0582656751095,64.770305753462,59.1228483136101,61.0551585194292,63.7589701710799,65.5859961681773
"Left IR (F)",21,0,59,64.9,62.4952380952381,1.46679112026089,60.0823667024089,64.9081094880673,59.1753881131053,61.0602770744238,63.8804882576179,65.6472833269383
"Dorsal IR (F)",21,0,60.4,65.5,62.5190476190476,1.48311127283797,60.0793295752292,64.9587656628661,59.5065880336246,60.9176904720381,63.9180185865813,65.7327901884262
"Lac",20,1,1.3,5.4,3.54,1.13480812196786,1.67324063936288,5.40675936063712,0.930524061853796,2.64524542812426,4.81551511436929,5.84156367264136
"HemoCue (g/dl)",21,0,6.7,13.5,10.2,2.06978259727924,6.79520762747565,13.6047923725244,5.76934747782194,8.26409545698714,12.3822955526637,14.5111487922913
"PCV1",20,0,33,74,56.95,12.3777176707518,36.5886544316132,77.3113455683868,29.3181749796996,46.8478186956348,71.2885402400876,81.4240153466356
"PCV2",20,0,36,88,60.75,13.7529901055045,38.1263312764451,83.3736687235549,30.6937487929644,48.2217415344651,74.9545445486511,90.382716889632
"Na (mmol/L)",21,0,132,158,147.047619047619,5.36168061783048,138.227654431288,155.86758366395,133.788368407966,142.599616898886,152.092583858157,158.86611192732
"Hct (%PCV)",21,0,22,56,38.6666666666667,9.87083245391863,22.4291472799705,54.9041860533628,17.9918001455522,28.9340207011294,48.666105970952,59.4850690906911
"Hb* (g/dL)",21,0,7.5,19,13.1095238095238,3.34767154331257,7.60260412077463,18.616443498273,6.10607426548187,9.71360431967504,16.4378219196087,20.1494801824023
"WBC estimate K/μl",21,0,8.1,22.1,14.2190476190476,3.80862429856491,7.95386064790834,20.4842345901869,6.35126082199554,10.1967777436587,17.6501622473339,22.6402119358411
"Absolute Neutrophils K/μl",21,0,1.2,7,3.45238095238095,1.69959378900343,0.656549169470304,6.2482127352916,0.0417896654338988,1.54457074541197,4.82267090801912,7.3769157566253
"Absolute immature neutrophils K/μl",21,0,0.08,0.88,0.368142857142857,0.219773584789957,0.00661531016337735,0.729670404122337,-0.0753051052452365,0.12315818358465,0.554264828893499,0.876128311967188
"Absolute Lymphocytes K/μl",21,0,4.8,12,8.40476190476191,2.23840929913995,4.72257860767669,12.0869452018471,3.8018465340155,6.02233588336202,10.531130118734,13.220523261724
"PCV_Avg",21,0,33,88,58.9285714285714,14.2225926911074,35.5324064516997,82.3247364054432,27.8563213596418,46.1466379305697,73.8708720712313,89.6084796401734
