"Variable","N","OutliersRemoved","Minimum","Maximum","Mean","SD","RI_lower","RI_upper","CI90_lower_L","CI90_lower_U","CI90_upper_L","CI90_upper_U"
"Left IR (F)",22,3,49.1,58.1,53.6409090909091,2.36877687765308,49.7442711271698,57.5375470546484,48.6037674185886,51.1854558041666,55.9092179692211,58.8149821990961
"Weight (kg)",22,3,1.5,3.8,2.60090909090909,0.590455103659228,1.62961044538966,3.57220773642852,1.35744348410419,1.96888244368372,3.13659179763312,3.93515095339716
"Length (cm)",25,0,56,71.5,63.84,4.20743389728229,56.9187712389706,70.7612287610294,54.912873893072,59.5142852919022,68.3232325540845,72.6550634706553
"Lac",25,0,0.8,6.2,2.976,1.21835955284144,0.971798535575827,4.98020146442417,0.407698987002562,1.6692647290404,4.09827275681487,5.7986264155879
"HemoCue (g/dl)",21,4,7.8,11.4,9.64285714285714,0.852977976603985,8.23970837134359,11.0460059143707,7.71397889389858,8.87788362103037,10.5009744773971,11.4978558155704
"PCV1",25,0,32,56,42.92,6.48022633349587,32.2600276813993,53.5799723186007,29.5960383268326,35.6343860752626,49.2003319116813,57.0741604418782
"PCV2",24,0,32,55,43.4583333333333,6.66580610387767,32.4930822924546,54.4235843742121,29.6527440177999,36.0762656935104,49.7754297965932,57.7315277895836
"TS",23,2,5.2,10.2,7.52173913043478,1.20074087801094,5.54652038610679,9.49695787476278,4.94124751949901,6.3366136520055,8.74167070360286,10.1617779596623
"Na (mmol/L)",22,3,148,157,151.772727272727,2.15874342157033,148.221594344244,155.32386020121,147.201035228732,149.520946977353,153.701580375985,156.73894731739
"K (mmol/L)",22,0,2.3,5.7,4.24545454545455,0.910639373881928,2.74745277541877,5.74345631549032,2.2196132944484,3.39357296275867,5.22420686568366,6.14294575302544
"iCa (mmol/L)",21,4,1.32,1.7,1.51857142857143,0.0998641934972548,1.35429483026844,1.68284802687441,1.29268243950189,1.43435589926303,1.62011042823772,1.73205077555098
"TCO2 (mmol/L)",24,1,6,13,8.95833333333333,1.8528278426483,5.91043153217688,12.0062351344898,5.12774663874216,6.93233942658259,10.6690839369835,13.0858270913061
"Glu (mg/dL)",25,0,52,78,65.44,7.40540343262945,53.2581113533246,77.6218886466754,50.0932944199753,57.2523350358665,72.7658048199699,81.1891991574377
"#immature RBC/100 mature RBC",24,0,7,52,28.875,11.3033757943291,10.2809468183286,47.4690531816714,4.32003441593291,17.7079235639291,40.9403380829117,52.9883969976914
"PCV_Avg",25,0,32,55.5,43.2,6.49037749287359,32.523329024223,53.8766709757771,29.7600566567139,35.8990270235013,49.4465330571509,57.1039276050788
